START_SCENE	CUTSCENE	_		
DIALOGUE	Player	. . .	_	END_DIALOGUE
DIALOGUE		[block=t]click . . .[pause=1] click[pause=0.5] click[pause=0.5][block=f]	_	END_DIALOGUE
DIALOGUE	Player	Uh . . . Is this thing on?	_	END_DIALOGUE
DIALOGUE	Player	( . . . Crap. I just got this thing too)	_	END_DIALOGUE
DIALOGUE		"<size=48>[play-sfx=take_damage][screen-shake=0.2,0.3]THWACK . . . [play-sfx=take_damage][screen-shake=0.2,0.3]WHAM . . .</size>"	_	END_DIALOGUE
DIALOGUE	???	"<size=48>[screen-shake=0.3,0.4]HELLO!</size>"	_	END_DIALOGUE
DIALOGUE	???	"Welcome back (Uncle name here)! You last activated this <color=blue>TYPOCRYPHA</color> unit 1 year, 1 month, and 13 days ago. You have <color=yellow>1023</color> new updates and <color=yellow>33,333</color> new emails."	Naive	END_DIALOGUE
DIALOGUE	Player	"O-Oh. No, Im not [Uncles name]. I-uh . . . Dammit! How do I reset-"	_	END_DIALOGUE
DIALOGUE	???	<size=48><color=red>ERROR UNIDENTIFIED USER. FORCE SHUTTING DOWN . . .</color></size>	STOP	END_DIALOGUE
DIALOGUE	Player	"[block=t]NonononoNONON-[fade=out,0,0,0,0][pause=3][next]"		END_DIALOGUE
DIALOGUE	???	"[fade=in,2,0,0,0]REINITIALIZING . . . [pause=3][next]"	_	END_DIALOGUE
DIALOGUE	Player	[block=f]OK . . . I think I fixed it. 	_	END_DIALOGUE
DIALOGUE	Player	. . . Maybe?	_	END_DIALOGUE
DIALOGUE	Player	Technology sucks.	_	END_DIALOGUE
DIALOGUE	Player	". . . Uh, hel-"	_	END_DIALOGUE
DIALOGUE	???	"<size=48>[screen-shake=0.3,0.4]HELLO!</size>"	_	END_DIALOGUE
DIALOGUE	???	Thank you for purchasing this <color=blue>TYPOCRYPHA</color> unit. I will be your AI operating assistant.	Naive	END_DIALOGUE
DIALOGUE	Clarke	You can call me Clarke!	_	END_DIALOGUE
DIALOGUE	Player	"Uh, hi Cla-"	_	END_DIALOGUE
DIALOGUE	Clarke	What's your name?	_	END_DIALOGUE
END_DIALOGUE				
